,adult,old,young
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.994,0.088,0.486
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,1,0.998,1
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,0.003,0.851,0.961
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6,0.999,0.999,1
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN,1,1,1
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS,1,1,1
REACTOME_ENOS_ACTIVATION_AND_REGULATION,0.01,0.989,0.901
REACTOME_MICRORNA_MIRNA_BIOGENESIS,0.996,0.916,0.33
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,0.93,1,1
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING,0.872,0.999,0.948
REACTOME_ERKS_ARE_INACTIVATED,0.766,0.995,0.957
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,1,1,1
REACTOME_PI3K_AKT_ACTIVATION,1,1,1
REACTOME_REGULATORY_RNA_PATHWAYS,0.895,0.33,0.046
REACTOME_EGFR_DOWNREGULATION,0.792,0.998,1
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,0,0.064,0.829
REACTOME_PECAM1_INTERACTIONS,0.965,0.997,1
REACTOME_TCR_SIGNALING,0.998,0.744,1
REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX,0.703,0.986,0.184
REACTOME_DOWNSTREAM_TCR_SIGNALING,0.938,0.949,0.905
REACTOME_BASIGIN_INTERACTIONS,0.452,0.06,0.115
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,1,0.987,1
REACTOME_GAB1_SIGNALOSOME,1,1,1
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING,1,0.995,0.993
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,0.317,0,0.753
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,1,1,1
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,0,0.011,0.237
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE,1,1,1
REACTOME_ERK_MAPK_TARGETS,0.722,1,0.997
REACTOME_TIE2_SIGNALING,1,1,1
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,0.071,0.265,0.533
REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,0.297,0.95,1
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_,0.38,0.026,0.819
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM,0.015,0.989,0.99
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,1,0.999,0.999
REACTOME_RNA_POL_I_TRANSCRIPTION,0.243,0.698,0.911
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,0.088,0.441,0.032
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION,1,1,1
REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES,0.727,0.251,0.622
REACTOME_BIOLOGICAL_OXIDATIONS,0.999,1,0.946
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR,1,0.034,1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,1,1,1
REACTOME_P75NTR_SIGNALS_VIA_NFKB,0.809,0.935,0.604
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS,0.914,0.036,0.816
REACTOME_XENOBIOTICS,1,1,1
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,0.199,0.691,0.279
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC,1,0.995,1
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE,0.291,0.066,0.947
REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,0.102,0.016,0.872
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS,0.069,0.529,0.14
REACTOME_HDL_MEDIATED_LIPID_TRANSPORT,1,1,1
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK,1,1,1
REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS,0.686,0.685,0.752
REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS,0.056,0.72,0.274
REACTOME_REGULATION_OF_APOPTOSIS,0.989,0.993,1
REACTOME_RNA_POL_II_TRANSCRIPTION,0.095,0.422,0.784
REACTOME_NEURONAL_SYSTEM,1,1,1
REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL,0.961,0.854,0.457
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,0,0,0
REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS,0.983,0.831,0.523
REACTOME_RNA_POL_III_TRANSCRIPTION,0.762,0.941,0.042
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE,1,1,0.999
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0.002,0.195,0.508
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING,1,1,0.995
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,0.968,0.938,0.99
REACTOME_ENDOGENOUS_STEROLS,1,1,1
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS,1,1,1
REACTOME_GLYCOLYSIS,0,0.051,0.183
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND,0.684,0.005,0.705
REACTOME_PEPTIDE_CHAIN_ELONGATION,0.805,0.062,0.912
REACTOME_COMMON_PATHWAY,1,1,1
REACTOME_MRNA_CAPPING,0.975,0.229,0.026
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,0.003,0,0.671
REACTOME_SIGNALING_BY_GPCR,0.276,0.059,0.867
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,0.711,0.151,0.531
REACTOME_METABOLISM_OF_POLYAMINES,0.708,0.707,0.605
REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS,0.948,0.053,0.565
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY,0.07,1,0.994
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,1,1,1
REACTOME_CELL_CYCLE_MITOTIC,0.093,0.18,0.027
REACTOME_GLUCONEOGENESIS,0.024,0.166,0.612
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE,0.026,0.01,0.973
REACTOME_OPIOID_SIGNALLING,1,1,1
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES,0.835,0.648,0.589
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION,0.86,0.957,0.989
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,1,0.909,1
REACTOME_CA_DEPENDENT_EVENTS,1,1,1
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,1,1,1
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY,1,1,1
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY,1,1,1
REACTOME_DARPP_32_EVENTS,0.989,1,1
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,1,1,1
REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES,0.91,0.244,0.366
REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL,1,0.949,1
REACTOME_CELL_CYCLE_CHECKPOINTS,0.037,0.278,0.522
REACTOME_DIABETES_PATHWAYS,0.982,0.001,0.997
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,0.998,1,0.631
REACTOME_GLYCOPROTEIN_HORMONES,1,1,1
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE,0.012,0.004,0.895
REACTOME_PLC_BETA_MEDIATED_EVENTS,1,1,1
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,0.669,0.262,0.944
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_,0.769,0.925,0.271
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS,1,1,1
REACTOME_G_PROTEIN_ACTIVATION,1,1,1
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,1,1,1
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0.4,0.951,1
REACTOME_TRNA_AMINOACYLATION,0.667,0.002,0.559
REACTOME_OLFACTORY_SIGNALING_PATHWAY,1,1,1
REACTOME_STEROID_HORMONES,0.226,0.021,0.795
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB,1,0.999,1
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,0.997,0.974,0.973
REACTOME_AMINE_DERIVED_HORMONES,1,1,1
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES,0.563,0.993,1
REACTOME_INTEGRIN_ALPHAIIB_BETA3_SIGNALING,1,1,1
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,1,1,1
REACTOME_INSULIN_SYNTHESIS_AND_PROCESSING,0,0,0
REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_,0.904,0.986,0.985
REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS,0.069,0.018,0.201
REACTOME_G1_PHASE,0.016,0.999,0.611
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS,1,1,1
REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE,0.905,0.935,1
REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER,0.418,0.953,0.059
REACTOME_RNA_POL_II_TRANSCRIPTION_PRE_INITIATION_AND_PROMOTER_OPENING,0.947,0.608,0.291
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION,1,0.366,1
REACTOME_MRNA_PROCESSING,0.012,0.457,0.854
REACTOME_SIGNALING_BY_PDGF,1,1,1
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,0.031,0.001,0.156
REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC,0.826,0.692,0.532
REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS,1,1,1
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,0.985,1,1
REACTOME_PROTEIN_FOLDING,0,0.065,0.38
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,0.399,0.017,0.485
REACTOME_PEROXISOMAL_LIPID_METABOLISM,0.034,0.123,0.064
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY,0.037,0.174,0.528
REACTOME_STRIATED_MUSCLE_CONTRACTION,0.147,0.197,0.091
REACTOME_METABOLISM_OF_NUCLEOTIDES,0.063,0.907,0.969
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,1,1,1
REACTOME_METABOLISM_OF_PROTEINS,0.936,0.739,0.871
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,1,1,1
REACTOME_MUSCLE_CONTRACTION,0.56,0.597,0.027
REACTOME_SEROTONIN_RECEPTORS,1,1,1
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX,1,1,1
REACTOME_M_G1_TRANSITION,0.907,0.886,0.927
REACTOME_MRNA_SPLICING,0.469,0.12,1
REACTOME_MRNA_SPLICING_MINOR_PATHWAY,0.976,0.994,0.986
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION,0.943,0.52,0.926
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA,0.474,0.62,0.732
REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS,0.877,0.002,0.934
REACTOME_G1_S_TRANSITION,0,0,0.135
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,0.033,0.101,0.015
REACTOME_TRANSCRIPTION,0.827,0.043,0.77
REACTOME_POL_SWITCHING,0.339,0.023,0.762
REACTOME_NUCLEOTIDE_EXCISION_REPAIR,0.276,0.666,0.174
REACTOME_REGULATION_OF_THE_FANCONI_ANEMIA_PATHWAY,1,1,1
REACTOME_AXON_GUIDANCE,1,1,1
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S,0.693,0.002,0.947
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_GLUCAGON_LIKE_PEPTIDE1,1,0.083,0.998
REACTOME_PERK_REGULATED_GENE_EXPRESSION,0.368,0,0.004
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,0.783,0,0.775
REACTOME_P2Y_RECEPTORS,1,1,1
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS,0.87,0.991,0.94
REACTOME_NCAM1_INTERACTIONS,1,1,1
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS,1,1,1
REACTOME_REGULATION_OF_INSULIN_SECRETION,1,1,1
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,0.825,1,1
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE,1,1,1
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS,1,1,1
REACTOME_ACTIVATION_OF_CHAPERONES_BY_ATF6_ALPHA,0.009,0,0.001
REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT,0.587,0.698,0.42
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS,1,1,1
REACTOME_ACTIVATION_OF_GENES_BY_ATF4,0.568,0.001,0.007
REACTOME_UNFOLDED_PROTEIN_RESPONSE,0.366,0,0.313
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,0.914,0,0.117
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS,0.999,0,0.556
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE,1,1,1
REACTOME_G_ALPHA1213_SIGNALLING_EVENTS,1,1,1
REACTOME_FANCONI_ANEMIA_PATHWAY,0.008,0.545,0.35
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS,1,0.97,1
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA,0.005,0,0
REACTOME_PROSTANOID_LIGAND_RECEPTORS,1,1,1
REACTOME_OPSINS,1,1,1
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX_,0.111,0.084,0.007
REACTOME_MRNA_3_END_PROCESSING,0.26,0.947,0.681
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS,0,0.011,0.616
REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,0.96,0.704,0.943
REACTOME_ELONGATION_ARREST_AND_RECOVERY,0.043,0.427,0.443
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,0.979,0.979,1
REACTOME_ADP_SIGNALLING_THROUGH_P2RY1,1,1,1
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA,1,1,0.997
REACTOME_CD28_CO_STIMULATION,0.981,1,1
REACTOME_GPCR_DOWNSTREAM_SIGNALING,0.674,0.07,0.865
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN,0.997,0.079,1
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,0.928,0.977,0.973
REACTOME_CRMPS_IN_SEMA3A_SIGNALING,0.226,0.447,0.48
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS,0.906,0.262,0.862
REACTOME_ACTIVATION_OF_RAC,1,1,1
REACTOME_PURINE_SALVAGE,0.177,0.012,0.026
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,0,0,0.449
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION,0.97,0.09,0.174
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY,0.051,0.281,0.606
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING,0.3,0.755,0.715
REACTOME_SEMAPHORIN_INTERACTIONS,0.974,0.354,0.296
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE,0.636,0.82,0.555
REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION,0.999,0.95,0.999
REACTOME_LYSOSOME_VESICLE_BIOGENESIS,0.027,0.999,0.976
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA,1,1,1
REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS,0,0.127,0.886
REACTOME_SPHINGOLIPID_METABOLISM,0.963,0,0.994
REACTOME_PD1_SIGNALING,1,1,1
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,1,0.981,1
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,0.419,0.054,0.996
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS,1,1,1
REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS,0.57,0.225,0.872
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,1,1,0.999
REACTOME_SIGNALING_BY_ROBO_RECEPTOR,1,1,1
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING,1,1,1
REACTOME_TIGHT_JUNCTION_INTERACTIONS,0,0.001,0.124
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING,1,1,1
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES,1,1,1
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,0.187,0.881,0.998
REACTOME_CTLA4_INHIBITORY_SIGNALING,0.9,1,1
REACTOME_FORMATION_OF_TRANSCRIPTION_COUPLED_NER_TC_NER_REPAIR_COMPLEX,0.874,0.856,0.576
REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS,0.998,0.996,0.987
REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX,0.994,0.998,1
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,0.001,0.029,0.074
REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER,0.268,0,0
REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR,0.605,0.007,0.146
REACTOME_SYNTHESIS_OF_DNA,0.297,0.492,0.898
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS,1,1,1
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,0.697,0.999,0.999
REACTOME_DEADENYLATION_OF_MRNA,1,1,1
REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE,0.081,0.03,0.025
REACTOME_SIGNAL_AMPLIFICATION,1,1,1
REACTOME_ZINC_TRANSPORTERS,0.02,0.013,0.66
REACTOME_DOUBLE_STRAND_BREAK_REPAIR,0.294,0.705,0
REACTOME_RAS_ACTIVATION_UOPN_CA2_INFUX_THROUGH_NMDA_RECEPTOR,0.004,0.193,0.003
REACTOME_METAL_ION_SLC_TRANSPORTERS,0.01,0.338,0.834
REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1,1,0.999,1
REACTOME_SMOOTH_MUSCLE_CONTRACTION,0.264,0.902,0
REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS,0.732,1,0.852
REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS,0.996,1,0.919
REACTOME_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS,0.992,1,0.99
REACTOME_UNBLOCKING_OF_NMDA_RECEPTOR_GLUTAMATE_BINDING_AND_ACTIVATION,0.973,0.634,0.011
REACTOME_METABOLISM_OF_MRNA,0.965,0.795,0.884
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,0.995,0.062,0.959
REACTOME_BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS,1,1,1
REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY,0.882,0.008,0.1
REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII,0.035,0.559,0.005
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR,1,1,1
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,0.674,0.076,0.768
REACTOME_ADP_SIGNALLING_THROUGH_P2RY12,1,1,0.999
REACTOME_CELL_JUNCTION_ORGANIZATION,0.99,0.019,0.923
REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS,0.616,0.913,0.986
REACTOME_PYRUVATE_METABOLISM,0.953,0.398,0.136
REACTOME_PURINE_CATABOLISM,0.016,0,0.552
REACTOME_GLUCOSE_TRANSPORT,0.012,0,0.988
REACTOME_FRS2_MEDIATED_CASCADE,1,0.97,0.996
REACTOME_METABOLISM_OF_RNA,0.937,0.76,0.839
REACTOME_MITOTIC_G1_G1_S_PHASES,0,0.007,0.172
REACTOME_PI_3K_CASCADE,1,1,1
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR,1,1,1
REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE,0.085,0.135,0.65
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX,1,0.824,0.954
REACTOME_REGULATION_OF_AMPK_ACTIVITY_VIA_LKB1,0.999,1,1
REACTOME_MITOTIC_M_M_G1_PHASES,0.008,0.029,0.018
REACTOME_MYOGENESIS,0.999,0.979,1
REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE,0.253,1,1
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE,1,1,1
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,1,1,0.989
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS,0.77,0.948,0.064
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS,0.214,0.883,0.957
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES,0.162,1,1
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES,0.999,0.998,0.999
REACTOME_GPCR_LIGAND_BINDING,0.896,0.956,0.853
REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION,0.717,0.269,0.996
REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1,0.944,1,1
REACTOME_SHC_MEDIATED_CASCADE,0.948,0.975,0.981
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS,1,1,1
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK,0.945,0.982,0.983
REACTOME_MITOTIC_G2_G2_M_PHASES,0.982,0.812,0.651
REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK,0.608,0.609,0.852
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,1,1,1
REACTOME_DNA_REPAIR,0.169,0.079,0.063
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS,1,0.729,1
REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS,0.522,0.99,0.927
REACTOME_ROLE_OF_DCC_IN_REGULATING_APOPTOSIS,0.618,0.885,0.918
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,0.564,0,0.802
REACTOME_CHROMOSOME_MAINTENANCE,0.998,0.995,0.644
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,0.309,0.845,0.953
REACTOME_L1CAM_INTERACTIONS,0.605,1,1
REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN1_SIGNALING,1,1,1
REACTOME_SIGNALING_BY_ILS,0.911,1,1
REACTOME_NETRIN1_SIGNALING,0.928,1,1
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS,1,0.848,1
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS,0.89,0.989,0.869
REACTOME_SIGNAL_TRANSDUCTION_BY_L1,0.715,1,1
REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM,0.997,0.062,1
REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES,1,1,1
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS,1,1,1
REACTOME_RNA_POL_I_PROMOTER_OPENING,0,0,0
REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS,1,1,1
REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT,1,1,1
REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING,0.343,0.999,0.982
REACTOME_RECYCLING_PATHWAY_OF_L1,1,0.997,1
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,0.092,0,0.056
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,1,1,1
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,0.879,0,0.054
REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX,0.981,0.953,0.997
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,0.017,0.002,0.007
REACTOME_IL1_SIGNALING,0.996,0.932,1
REACTOME_GLOBAL_GENOMIC_NER_GG_NER,0.113,0.678,0.833
